"gene","start","end","strand","logFC","p.value","FDR","add.variable"
"SCO1550",1658389,1658571,"-","-2,2","4,5E-18",NA,NA
"SCO2165",2329632,2330315,"-","-14,1","2,0E-14",NA,NA
"SCO2166",2330312,2331562,"-","-10,8","1,7E-16",NA,NA
"SCO3899",4293746,4294828,"-","-3,1","3,5E-97",NA,NA
"SCO3900",4294873,4295550,"-","-2,8","9,2E-39",NA,NA
"SCO4902",5335877,5336245,"+","2,4","9,6E-10",NA,NA
"SCO6273",6900898,6907356,"-","-2,0","9,0E-04",NA,NA
"SCO6274",6907413,6918143,"-","-2,2","6,8E-05",NA,NA
"SCO6275",6918286,6931959,"-","-2,3","1,5E-05",NA,NA
"SCO6682",7422494,7422622,"+","2,9","8,1E-12",NA,NA
"SCO6931",7699447,7699626,"-","2,3","3,7E-07",NA,NA
"SCO7013",7790150,7791565,"-","7,1","7,9E-16",NA,NA
"SCO7014",7791717,7792730,"-","4,2","1,5E-07",NA,NA
"SCO7314",8120541,8121440,"+","2,1","2,4E-09",NA,NA
"SCO7536",8355539,8357758,"+","-17,2","6,2E-258",NA,NA
